Paper title,Author(s),Date published,Link to paper
CVE-Bench: A Benchmark for AI Agents' Ability to Exploit Real-World Web Application Vulnerabilities,"Yuxuan Zhu, Antony Kellermann, Dylan Bowman, Philip Li, Akul Gupta, Adarsh Danda, Richard Fang, Conner Jensen, Eric Ihli, Jason Benn, Jet Geronimo, Avi Dhir, Sudhit Rao, Kaicheng Yu, Twm Stone, Daniel Kang",Mar 2025,https://arxiv.org/abs/2503.17332
In-House Evaluation Is Not Enough: Towards Robust Third-Party Flaw Disclosure for General-Purpose AI,"Shayne Longpre, Kevin Klyman, Ruth E. Appel, Sayash Kapoor, Rishi Bommasani, Michelle Sahar, Sean McGregor, Avijit Ghosh, Borhane Blili-Hamelin, Nathan Butters, Alondra Nelson, Amit Elazari, Andrew Sellars, Casey John Ellis, Dane Sherrets, Dawn Song, Harley Geiger, Ilona Cohen, Lauren McIlvenny, Madhulika Srikumar, Mark M. Jaycox, Markus Anderljung, Nadine Farid Johnson, Nicholas Carlini, Nicolas Miailhe, Nik Marda, Peter Henderson, Rebecca S. Portnoff, Rebecca Weiss, Victoria Westerhoff, Yacine Jernite, Rumman Chowdhury, Percy Liang, Arvind Narayanan",Mar 2025,https://arxiv.org/abs/2503.16861
Measuring AI Ability to Complete Long Tasks,"Thomas Kwa, Ben West, Joel Becker, Amy Deng, Katharyn Garcia, Max Hasin, Sami Jawhar, Megan Kinniment, Nate Rush, Sydney Von Arx, Ryan Bloom, Thomas Broadley, Haoxing Du, Brian Goodrich, Nikola Jurkovic, Luke Harold Miles, Seraphina Nix, Tao Lin, Neev Parikh, David Rein, Lucas Jun Koba Sato, Hjalmar Wijk, Daniel M. Ziegler, Elizabeth Barnes, Lawrence Chan",Mar 2025,https://arxiv.org/abs/2503.14499
"From Autonomous Agents to Integrated Systems, A New Paradigm: Orchestrated Distributed Intelligence",Krti Tallam,Mar 2025,https://arxiv.org/abs/2503.13754
A Framework for Evaluating Emerging Cyberattack Capabilities of AI,"Mikel Rodriguez, Raluca Ada Popa, Four Flynn, Lihao Liang, Allan Dafoe, Anna Wang",Mar 2025,https://arxiv.org/abs/2503.11917
Combining Causal Models for More Accurate Abstractions of Neural Networks,"Theodora-Mara Pîslar, Sara Magliacane, Atticus Geiger",Mar 2025,https://arxiv.org/abs/2503.11429
SAEBench: A Comprehensive Benchmark for Sparse Autoencoders in Language Model Interpretability,"Adam Karvonen, Can Rager, Johnny Lin, Curt Tigges, Joseph Bloom, David Chanin, Yeu-Tong Lau, Eoin Farrell, Callum McDougall, Kola Ayonrinde, Matthew Wearden, Arthur Conmy, Samuel Marks, Neel Nanda",Mar 2025,https://arxiv.org/abs/2503.09532
"Randomness, Not Representation: The Unreliability of Evaluating Cultural Alignment in LLMs","Ariba Khan, Stephen Casper, Dylan Hadfield-Menell",Mar 2025,https://arxiv.org/abs/2503.08688
Chain-of-Thought Reasoning In The Wild Is Not Always Faithful,"Iván Arcuschin, Jett Janiak, Robert Krzyzanowski, Senthooran Rajamanoharan, Neel Nanda, Arthur Conmy",Mar 2025,https://arxiv.org/abs/2503.08679v1
Advancing AI Negotiations: New Theory and Evidence from a Large-Scale Autonomous Negotiations Competition,"Michelle Vaccaro, Michael Caoson, Harang Ju, Sinan Aral, Jared R. Curhan",Mar 2025,https://arxiv.org/abs/2503.06416
Decoding the Black Box: Integrating Moral Imagination with Technical AI Governance,Krti Tallam,Mar 2025,https://arxiv.org/abs/2503.06411
General Scales Unlock AI Evaluation with Explanatory and Predictive Power,"Lexin Zhou, Lorenzo Pacchiardi, Fernando Martínez-Plumed, Katherine M. Collins, Yael Moros-Daval, Seraphina Zhang, Qinlin Zhao, Yitian Huang, Luning Sun, Jonathan E. Prunty, Zongqian Li, Pablo Sánchez-García, Kexin Jiang Chen, Pablo A. M. Casares, Jiyun Zu, John Burden, Behzad Mehrbakhsh, David Stillwell, Manuel Cebrian, Jindong Wang, Peter Henderson, Sherry Tongshuang Wu, Patrick C. Kyllonen, Lucy Cheke, Xing Xie, José Hernández-Orallo",Mar 2025,https://arxiv.org/abs/2503.06378
GATE: An Integrated Assessment Model for AI Automation,"Ege Erdil, Andrei Potlogea, Tamay Besiroglu, Edu Roldan, Anson Ho, Jaime Sevilla, Matthew Barnett, Matej Vrzla, Robert Sandler",Mar 2025,https://arxiv.org/abs/2503.04941
START: Self-taught Reasoner with Tools,"Chengpeng Li, Mingfeng Xue, Zhenru Zhang, Jiaxi Yang, Beichen Zhang, Xiang Wang, Bowen Yu, Binyuan Hui, Junyang Lin, Dayiheng Liu",Mar 2025,https://arxiv.org/abs/2503.04625
Activation Space Interventions Can Be Transferred Between Large Language Models,"Narmeen Oozeer, Dhruv Nathawani, Nirmalendu Prakash, Michael Lan, Abir Harrasse, Amirali Abdullah",Mar 2025,https://arxiv.org/abs/2503.04429
Towards Understanding Distilled Reasoning Models: A Representational Approach,"David D. Baek, Max Tegmark",Mar 2025,https://arxiv.org/abs/2503.03730
Position: Model Collapse Does Not Mean What You Think,"Rylan Schaeffer, Joshua Kazdan, Alvan Caleb Arulandu, Sanmi Koyejo",Mar 2025,https://arxiv.org/abs/2503.03150
"Same Question, Different Words: A Latent Adversarial Framework for Prompt Robustness","Tingchen Fu, Fazl Barez",Mar 2025,https://arxiv.org/abs/2503.01345v1
Automated Researchers Can Subtly Sandbag,"Johannes Gasteiger, Akbir Khan, Sam Bowman, Vladimir Mikulik, Ethan Perez, Fabien Roger",Mar 2025,https://alignment.anthropic.com/2025/automated-researchers-sandbag/
Three Types of Intelligence Explosion,"Tom Davidson, Rose Hadshar, Will MacAskill",Feb 2025,https://www.forethought.org/research/three-types-of-intelligence-explosion
"AGI, Governments, and Free Societies","Justin B. Bullock, Samuel Hammond, Seb Krier",Feb 2025,https://www.arxiv.org/abs/2503.05710
Modeling Human Beliefs about AI Behavior for Scalable Oversight,"Leon Lang, Patrick Forre",Feb 2025,https://www.arxiv.org/abs/2502.21262
Idiosyncrasies in Large Language Models,"Mingjie Sun, Yida Yin, Zhiqiu Xu, J. Zico Kolter, Zhuang Liu",Feb 2025,https://www.arxiv.org/abs/2502.12150
The Danger of Overthinking: Examining the Reasoning-Action Dilemma in Agentic Tasks,"Alejandro Cuadron, Dacheng Li, Wenjie Ma, Xingyao Wang, Yichuan Wang, Siyuan Zhuang, Shu Liu, Luis Gaspar Schroeder, Tian Xia, Huanzhi Mao, Nicholas Thumiger, Aditya Desai, Ion Stoica, Ana Klimovic, Graham Neubig, Joseph E. Gonzalez",Feb 2025,https://www.arxiv.org/abs/2502.08235
Can 1B LLM Surpass 405B LLM? Rethinking Compute-Optimal Test-Time Scaling,"Runze Liu, Junqi Gao, Jian Zhao, Kaiyan Zhang, Xiu Li, Biqing Qi, Wanli Ouyang, Bowen Zhou",Feb 2025,https://www.arxiv.org/abs/2502.06703
Which Economic Tasks are Performed with AI? Evidence from Millions of Claude Conversation,"Kunal Handa, Alex Tamkin, Miles McCain, Saffron Huang, Esin Durmus, Sarah Heck, Jared Mueller, Jerry Hong, Stuart Ritchie, Tim Belonax, Kevin K. Troy, Dario Amodei, Jared Kaplan, Jack Clark, Deep Ganguli",Feb 2025,https://www.anthropic.com/news/the-anthropic-economic-index
"Alignment, Agency and Autonomy in Frontier AI: A Systems Engineering Perspective",Krti Tallam,Feb 2025,https://arxiv.org/abs/2503.05748
AILuminate: Introducing v1.0 of the AI Risk and Reliability Benchmark from MLCommons,"Shaona Ghosh, Heather Frase, Adina Williams, Sarah Luger, Paul Röttger, Fazl Barez, Sean McGregor, Kenneth Fricklas, Mala Kumar, Quentin Feuillade--Montixi, Kurt Bollacker, Felix Friedrich, Ryan Tsang, Bertie Vidgen, Alicia Parrish, Chris Knotz, Eleonora Presani, Jonathan Bennion, Marisa Ferrara Boston, Mike Kuniavsky, Wiebke Hutiri, James Ezick, Malek Ben Salem, Rajat Sahay, Sujata Goswami, Usman Gohar, Ben Huang, Supheakmungkol Sarin, Elie Alhajjar, Canyu Chen, Roman Eng, Kashyap Ramanandula Manjusha, Virendra Mehta, Eileen Long, Murali Emani, Natan Vidra, Benjamin Rukundo, Abolfazl Shahbazi, Kongtao Chen, Rajat Ghosh, Vithursan Thangarasa, Pierre Peigné, Abhinav Singh, Max Bartolo, Satyapriya Krishna, Mubashara Akhtar, Rafael Gold, Cody Coleman, Luis Oala, Vassil Tashev, Joseph Marvin Imperial, Amy Russ, Sasidhar Kunapuli, Nicolas Miailhe, Julien Delaunay, Bhaktipriya Radharapu, Rajat Shinde, Tuesday, Debojyoti Dutta, Declan Grabb, Ananya Gangavarapu, Saurav Sahay, Agasthya Gangavarapu, Patrick Schramowski, Stephen Singam, Tom David, Xudong Han, Priyanka Mary Mammen, Tarunima Prabhakar, Venelin Kovatchev, Ahmed Ahmed, Kelvin N. Manyeki, Sandeep Madireddy, Foutse Khomh, Fedor Zhdanov, Joachim Baumann, Nina Vasan, Xianjun Yang, Carlos Mougn, Jibin Rajan Varghese, Hussain Chinoy, Seshakrishna Jitendar, Manil Maskey, Claire V. Hardgrove, Tianhao Li, Aakash Gupta, Emil Joswin, Yifan Mai, Shachi H Kumar, Cigdem Patlak, Kevin Lu, Vincent Alessi, Sree Bhargavi Balija, Chenhe Gu, Robert Sullivan, James Gealy, Matt Lavrisa, James Goel, Peter Mattson, Percy Liang, Joaquin Vanschoren",Feb 2025,https://arxiv.org/abs/2503.05731
Safety Cases: A Scalable Approach to Frontier AI Safety,"Benjamin Hilton, Marie Davidsen Buhl, Tomek Korbak, Geoffrey Irving",Feb 2025,https://arxiv.org/abs/2503.04744
Systems and Algorithms for Convolutional Multi-Hybrid Language Models at Scale,"Jerome Ku, Eric Nguyen, David W. Romero, Garyk Brixi, Brandon Yang, Anton Vorontsov, Ali Taghibakhshi, Amy X. Lu, Dave P. Burke, Greg Brockman, Stefano Massaroli, Christopher Re, Patrick D. Hsu, Brian L. Hie, Stefano Ermon, Michael Poli",Feb 2025,https://arxiv.org/abs/2503.01868
"Transforming Cyber Defense: Harnessing Agentic and Frontier AI for Proactive, Ethical Threat Intelligence",Krti Tallam,Feb 2025,https://arxiv.org/abs/2503.00164
Adaptive Attacks Break Defenses Against Indirect Prompt Injection Attacks on LLM Agents,"Qiusi Zhan, Richard Fang, Henil Shalin Panchal, Daniel Kang",Feb 2025,https://arxiv.org/abs/2503.00061
EgoNormia: Benchmarking Physical Social Norm Understanding,"Mohammad Hossein Rezaei, Yicheng Fu, Phil Cuvin, Caleb Ziems, Yanzhe Zhang, Hao Zhu, Diyi Yang",Feb 2025,https://arxiv.org/abs/2502.20490
"Thinking Slow, Fast: Scaling Inference Compute with Distilled Reasoners","Daniele Paliotta, Junxiong Wang, Matteo Pagliardini, Kevin Y. Li, Aviv Bick, J. Zico Kolter, Albert Gu, François Fleuret, Tri Dao",Feb 2025,https://arxiv.org/abs/2502.20339
Emergent Symbolic Mechanisms Support Abstract Reasoning in Large Language Models,"Yukang Yang, Declan Campbell, Kaixuan Huang, Mengdi Wang, Jonathan Cohen, Taylor Webb",Feb 2025,https://arxiv.org/abs/2502.20332
Do Sparse Autoencoders Generalize? A Case Study of Answerability,"Lovis Heindrich, Philip Torr, Fazl Barez, Veronika Thost",Feb 2025,https://arxiv.org/abs/2502.19964
"No, of course I can! Refusal Mechanisms Can Be Exploited Using Harmless Fine-Tuning Data","Joshua Kazdan, Lisa Yu, Rylan Schaeffer, Chris Cundy, Sanmi Koyejo, Dvijotham Krishnamurthy",Feb 2025,https://arxiv.org/abs/2502.19537
The Mighty ToRR: A Benchmark for Table Reasoning and Robustness,"Shir Ashury-Tahan, Yifan Mai, Rajmohan C, Ariel Gera, Yotam Perlitz, Asaf Yehudai, Elron Bandel, Leshem Choshen, Eyal Shnarch, Percy Liang, Michal Shmueli-Scheuer",Feb 2025,https://arxiv.org/abs/2502.19412
BIG-Bench Extra Hard,"Mehran Kazemi, Bahare Fatemi, Hritik Bansal, John Palowitch, Chrysovalantis Anastasiou, Sanket Vaibhav Mehta, Lalit K. Jain, Virginia Aglietti, Disha Jindal, Peter Chen, Nishanth Dikkala, Gladys Tyen, Xin Liu, Uri Shalit, Silvia Chiappa, Kate Olszewska, Yi Tay, Vinh Q. Tran, Quoc V. Le, Orhan Firat",Feb 2025,https://arxiv.org/abs/2502.19187
Correlating and Predicting Human Evaluations of Language Models from Natural Language Processing Benchmarks,"Rylan Schaeffer, Punit Singh Koura, Binh Tang, Ranjan Subramanian, Aaditya K Singh, Todor Mihaylov, Prajjwal Bhargava, Lovish Madaan, Niladri S. Chatterji, Vedanuj Goswami, Sergey Edunov, Dieuwke Hupkes, Sanmi Koyejo, Sharan Narang",Feb 2025,https://arxiv.org/abs/2502.18339
The Cyber Immune System: Harnessing Adversarial Forces for Security Resilience,Krti Tallam,Feb 2025,https://arxiv.org/abs/2502.17698
How Do Large Language Monkeys Get Their Power (Laws)?,"Rylan Schaeffer, Joshua Kazdan, John Hughes, Jordan Juravsky, Sara Price, Aengus Lynch, Erik Jones, Robert Kirk, Azalia Mirhoseini, Sanmi Koyejo",Feb 2025,https://arxiv.org/abs/2502.17578
Emergent Misalignment: Narrow finetuning can produce broadly misaligned LLMs,"Jan Betley, Daniel Tan, Niels Warncke, Anna Sztyber-Betley, Xuchan Bao, Martín Soto, Nathan Labenz, Owain Evans",Feb 2025,https://arxiv.org/abs/2502.17424
The Geometry of Refusal in Large Language Models: Concept Cones and Representational Independence,"Tom Wollschläger, Jannes Elstner, Simon Geisler, Vincent Cohen-Addad, Stephan Günnemann, Johannes Gasteiger",Feb 2025,https://arxiv.org/abs/2502.17420
"REINFORCE Adversarial Attacks on Large Language Models: An Adaptive, Distributional, and Semantic Objective","Simon Geisler, Tom Wollschläger, M. H. I. Abdalla, Vincent Cohen-Addad, Johannes Gasteiger, Stephan Günnemann",Feb 2025,https://arxiv.org/abs/2502.17254
Forecasting Rare Language Model Behaviors,"Erik Jones, Meg Tong, Jesse Mu, Mohammed Mahfoud, Jan Leike, Roger Grosse, Jared Kaplan, William Fithian, Ethan Perez, Mrinank Sharma",Feb 2025,https://arxiv.org/abs/2502.16797
Beyond Release: Access Considerations for Generative AI Systems,"Irene Solaiman, Rishi Bommasani, Dan Hendrycks, Ariel Herbert-Voss, Yacine Jernite, Aviya Skowron, Andrew Trask",Feb 2025,https://arxiv.org/abs/2502.16701
Are Sparse Autoencoders Useful? A Case Study in Sparse Probing,"Subhash Kantamneni, Joshua Engels, Senthooran Rajamanoharan, Max Tegmark, Neel Nanda",Feb 2025,https://arxiv.org/abs/2502.16681
Forecasting Frontier Language Model Agent Capabilities,"Govind Pimpale, Axel Højmark, Jérémy Scheurer, Marius Hobbhahn",Feb 2025,https://arxiv.org/abs/2502.15850
Vending-Bench: A Benchmark for Long-Term Coherence of Autonomous Agents,"Axel Backlund, Lukas Petersson",Feb 2025,https://arxiv.org/abs/2502.15840
CyberSentinel: An Emergent Threat Detection System for AI Security,Krti Tallam,Feb 2025,https://arxiv.org/abs/2502.14966
Fundamental Limitations in Defending LLM Finetuning APIs,"Xander Davies, Eric Winsor, Tomek Korbak, Alexandra Souly, Robert Kirk, Christian Schroeder de Witt, Yarin Gal",Feb 2025,https://arxiv.org/abs/2502.14828
"On the Trustworthiness of Generative Foundation Models: Guideline, Assessment, and Perspective","Yue Huang, Chujie Gao, Siyuan Wu, Haoran Wang, Xiangqi Wang, Yujun Zhou, Yanbo Wang, Jiayi Ye, Jiawen Shi, Qihui Zhang, Yuan Li, Han Bao, Zhaoyi Liu, Tianrui Guan, Dongping Chen, Ruoxi Chen, Kehan Guo, Andy Zou, Bryan Hooi Kuen-Yew, Caiming Xiong, Elias Stengel-Eskin, Hongyang Zhang, Hongzhi Yin, Huan Zhang, Huaxiu Yao, Jaehong Yoon, Jieyu Zhang, Kai Shu, Kaijie Zhu, Ranjay Krishna, Swabha Swayamdipta, Taiwei Shi, Weijia Shi, Xiang Li, Yiwei Li, Yuexing Hao, Zhihao Jia, Zhize Li, Xiuying Chen, Zhengzhong Tu, Xiyang Hu, Tianyi Zhou, Jieyu Zhao, Lichao Sun, Furong Huang, Or Cohen Sasson, Prasanna Sattigeri, Anka Reuel, Max Lamparth, Yue Zhao, Nouha Dziri, Yu Su, Huan Sun, Heng Ji, Chaowei Xiao, Mohit Bansal, Nitesh V. Chawla, Jian Pei, Jianfeng Gao, Michael Backes, Philip S. Yu, Neil Zhenqiang Gong, Pin-Yu Chen, Bo Li, Xiangliang Zhang",Feb 2025,https://arxiv.org/abs/2502.14296
Multi-Agent Risks from Advanced AI,"Lewis Hammond, Alan Chan, Jesse Clifton, Jason Hoelscher-Obermaier, Akbir Khan, Euan McLean, Chandler Smith, Wolfram Barfuss, Jakob Foerster, Tomáš Gavenčiak, The Anh Han, Edward Hughes, Vojtěch Kovařík, Jan Kulveit, Joel Z. Leibo, Caspar Oesterheld, Christian Schroeder de Witt, Nisarg Shah, Michael Wellman, Paolo Bova, Theodor Cimpeanu, Carson Ezell, Quentin Feuillade-Montixi, Matija Franklin, Esben Kran, Igor Krawczuk, Max Lamparth, Niklas Lauffer, Alexander Meinke, Sumeet Motwani, Anka Reuel, Vincent Conitzer, Michael Dennis, Iason Gabriel, Adam Gleave, Gillian Hadfield, Nika Haghtalab, Atoosa Kasirzadeh, Sébastien Krier, Kate Larson, Joel Lehman, David C. Parkes, Georgios Piliouras, Iyad Rahwan",Feb 2025,https://arxiv.org/abs/2502.14143
Demonstrating specification gaming in reasoning models,"Alexander Bondarenko, Denis Volk, Dmitrii Volkov, Jeffrey Ladish",Feb 2025,https://arxiv.org/abs/2502.13295
NaturalReasoning: Reasoning in the Wild with 2.8M Challenging Questions,"Weizhe Yuan, Jane Yu, Song Jiang, Karthik Padthe, Yang Li, Dong Wang, Ilia Kulikov, Kyunghyun Cho, Yuandong Tian, Jason E Weston, Xian Li",Feb 2025,https://arxiv.org/abs/2502.13124
Independence Tests for Language Models,"Sally Zhu, Ahmed Ahmed, Rohith Kuditipudi, Percy Liang",Feb 2025,https://arxiv.org/abs/2502.12292
How Do LLMs Acquire New Knowledge? A Knowledge Circuits Perspective on Continual Pre-Training,"Yixin Ou, Yunzhi Yao, Ningyu Zhang, Hui Jin, Jiacheng Sun, Shumin Deng, Zhenguo Li, Huajun Chen",Feb 2025,https://arxiv.org/abs/2502.11196
KernelBench: Can LLMs Write Efficient GPU Kernels?,"Anne Ouyang, Simon Guo, Simran Arora, Alex L. Zhang, William Hu, Christopher Re, Azalia Mirhoseini",Feb 2025,https://arxiv.org/abs/2502.10517
AI Alignment at Your Discretion,"Maarten Buyl, Hadi Khalaf, Claudio Mayrink Verdun, Lucas Monteiro Paes, Caio C. Vieira Machado, Flavio du Pin Calmon",Feb 2025,https://arxiv.org/abs/2502.10441
Large Language Diffusion Models,"Shen Nie, Fengqi Zhu, Zebin You, Xiaolu Zhang, Jingyang Ou, Jun Hu, Jun Zhou, Yankai Lin, Ji-Rong Wen, Chongxuan Li",Feb 2025,https://arxiv.org/abs/2502.09992
Pitfalls of Evidence-Based AI Policy,"Stephen Casper, David Krueger, Dylan Hadfield-Menell",Feb 2025,https://arxiv.org/abs/2502.09618
EnigmaEval: A Benchmark of Long Multimodal Reasoning Challenges,"Clinton J. Wang, Dean Lee, Cristina Menghini, Johannes Mols, Jack Doughty, Adam Khoja, Jayson Lynch, Sean Hendryx, Summer Yue, Dan Hendrycks",Feb 2025,https://arxiv.org/abs/2502.08859v1
Utility Engineering: Analyzing and Controlling Emergent Value Systems in AIs,"Mantas Mazeika, Xuwang Yin, Rishub Tamirisa, Jaehyuk Lim, Bruce W. Lee, Richard Ren, Long Phan, Norman Mu, Adam Khoja, Oliver Zhang, Dan Hendrycks",Feb 2025,https://arxiv.org/abs/2502.08640
Distillation Scaling Laws,"Dan Busbridge, Amitis Shidani, Floris Weers, Jason Ramapuram, Etai Littwin, Russ Webb",Feb 2025,https://arxiv.org/abs/2502.08606
Commercial LLM Agents Are Already Vulnerable to Simple Yet Dangerous Attacks,"Ang Li, Yin Zhou, Vethavikashini Chithrra Raghuram, Tom Goldstein, Micah Goldblum",Feb 2025,https://arxiv.org/abs/2502.08586
Automated Capability Discovery via Model Self-Exploration,"Cong Lu, Shengran Hu, Jeff Clune",Feb 2025,https://arxiv.org/abs/2502.07577
When More is Less: Understanding Chain-of-Thought Length in LLM,"Yuyang Wu, Yifei Wang, Tianqi Du, Stefanie Jegelka, Yisen Wang",Feb 2025,https://arxiv.org/abs/2502.07266
Multi-turn Evaluation of Anthropomorphic Behaviours in Large Language Models,"Lujain Ibrahim, Canfer Akbulut, Rasmi Elasmar, Charvi Rastogi, Minsuk Kahng, Meredith Ringel Morris, Kevin R. McKee, Verena Rieser, Murray Shanahan, Laura Weidinger",Feb 2025,https://arxiv.org/abs/2502.07077
Gemstones: A Model Suite for Multi-Faceted Scaling Laws,"Sean McLeish, John Kirchenbauer, David Yu Miller, Siddharth Singh, Abhinav Bhatele, Micah Goldblum, Ashwinee Panda, Tom Goldstein",Feb 2025,https://arxiv.org/abs/2502.06857
Assessing confidence in frontier AI safety cases,"Stephen Barrett, Philip Fox, Joshua Krook, Tuneer Mondal, Simon Mylius, Alejandro Tlaie",Feb 2025,https://arxiv.org/abs/2502.05791
You Are What You Eat -- AI Alignment Requires Understanding How Data Shapes Structure and Generalisation,"Simon Pepin Lehalleur, Jesse Hoogland, Matthew Farrugia-Roberts, Susan Wei, Alexander Gietelink Oldenziel, George Wang, Liam Carroll, Daniel Murfet",Feb 2025,https://arxiv.org/abs/2502.05475
Model Tampering Attacks Enable More Rigorous Evaluations of LLM Capabilities,"Zora Che, Stephen Casper, Robert Kirk, Anirudh Satheesh, Stewart Slocum, Lev E McKinney, Rohit Gandikota, Aidan Ewart, Domenic Rosati, Zichu Wu, Zikui Cai, Bilal Chughtai, Yarin Gal, Furong Huang, Dylan Hadfield-Menell",Feb 2025,https://arxiv.org/abs/2502.05209
Scaling up Test-Time Compute with Latent Reasoning: A Recurrent Depth Approach,"Jonas Geiping, Sean McLeish, Neel Jain, John Kirchenbauer, Siddharth Singh, Brian R. Bartoldson, Bhavya Kailkhura, Abhinav Bhatele, Tom Goldstein",Feb 2025,https://arxiv.org/abs/2502.05171
NoLiMa: Long-Context Evaluation Beyond Literal Matching,"Ali Modarressi, Hanieh Deilamsalehy, Franck Dernoncourt, Trung Bui, Ryan A. Rossi, Seunghyun Yoon, Hinrich Schütze",Feb 2025,https://arxiv.org/abs/2502.05167
Sparse Autoencoders Do Not Find Canonical Units of Analysis,"Patrick Leask, Bart Bussmann, Michael Pearce, Joseph Bloom, Curt Tigges, Noura Al Moubayed, Lee Sharkey, Neel Nanda",Feb 2025,https://arxiv.org/abs/2502.04878
Scalable Oversight for Superhuman AI via Recursive Self-Critiquing,"Xueru Wen, Jie Lou, Xinyu Lu, Junjie Yang, Yanjiang Liu, Yaojie Lu, Debing Zhang, XingYu",Feb 2025,https://arxiv.org/abs/2502.04675
Position-aware Automatic Circuit Discovery,"Tal Haklay, Hadas Orgad, David Bau, Aaron Mueller, Yonatan Belinkov",Feb 2025,https://arxiv.org/abs/2502.04577
Great Models Think Alike and this Undermines AI Oversight,"Shashwat Goel, Joschka Struber, Ilze Amanda Auzina, Karuna K Chandra, Ponnurangam Kumaraguru, Douwe Kiela, Ameya Prabhu, Matthias Bethge, Jonas Geiping",Feb 2025,https://arxiv.org/abs/2502.04313
Gold-medalist Performance in Solving Olympiad Geometry with AlphaGeometry2,"Yuri Chervonyi, Trieu H. Trinh, Miroslav Olšák, Xiaomeng Yang, Hoang Nguyen, Marcelo Menegali, Junehyuk Jung, Vikas Verma, Quoc V. Le, Thang Luong",Feb 2025,https://arxiv.org/abs/2502.03544
Do Large Language Model Benchmarks Test Reliability?,"Joshua Vendrow, Edward Vendrow, Sara Beery, Aleksander Madry",Feb 2025,https://arxiv.org/abs/2502.03461
Detecting Strategic Deception Using Linear Probes,"Nicholas Goldowsky-Dill, Bilal Chughtai, Stefan Heimersheim, Marius Hobbhahn",Feb 2025,https://arxiv.org/abs/2502.03407
Demystifying Long Chain-of-Thought Reasoning in LLMs,"Edward Yeo, Yuxuan Tong, Morry Niu, Graham Neubig, Xiang Yue",Feb 2025,https://arxiv.org/abs/2502.03373
Slowing Learning by Erasing Simple Features,"Lucia Quirke, Nora Belrose",Feb 2025,https://arxiv.org/abs/2502.02820
Fully Autonomous AI Agents Should Not be Developed,"Margaret Mitchell, Avijit Ghosh, Alexandra Sasha Luccioni, Giada Pistilli",Feb 2025,https://arxiv.org/abs/2502.02649
Adversarial ML Problems Are Getting Harder to Solve and to Evaluate,"Javier Rando, Jie Zhang, Nicholas Carlini, Florian Tramèr",Feb 2025,https://arxiv.org/abs/2502.02260
The Elicitation Game: Evaluating Capability Elicitation Techniques,"Felix Hofstätter, Teun van der Weij, Jayden Teoh, Henning Bartsch, Francis Rhys Ward",Feb 2025,https://arxiv.org/abs/2502.02180
Constrained belief updates explain geometric structures in transformer representations,"Mateusz Piotrowski, Paul M. Riechers, Daniel Filan, Adam S. Shai",Feb 2025,https://arxiv.org/abs/2502.01954
The AI Agent Index,"Stephen Casper, Luke Bailey, Rosco Hunter, Carson Ezell, Emma Cabale, Michael Gerovitch, Stewart Slocum, Kevin Wei, Nikola Jurkovic, Ariba Khan, Phillip J.K. Christoffersen, A. Pinar Ozisik, Rakshit Trivedi, Dylan Hadfield-Menell, Noam Kolt",Feb 2025,https://arxiv.org/abs/2502.01635
Harmonic Loss Trains Interpretable AI Model,"David D. Baek, Ziming Liu, Riya Tyagi, Max Tegmark",Feb 2025,https://arxiv.org/abs/2502.01628
Self-Improving Transformers Overcome Easy-to-Hard and Length Generalization Challenges,"Nayoung Lee, Ziyang Cai, Avi Schwarzschild, Kangwook Lee, Dimitris Papailiopoulos",Feb 2025,https://arxiv.org/abs/2502.01612
Eliciting Language Model Behaviors with Investigator Agents,"Xiang Lisa Li, Neil Chowdhury, Daniel D. Johnson, Tatsunori Hashimoto, Percy Liang, Sarah Schwettmann, Jacob Steinhardt",Feb 2025,https://arxiv.org/abs/2502.01236
Language Models Prefer What They Know: Relative Confidence Estimation via Confidence Preferences,"Vaishnavi Shrivastava, Ananya Kumar, Percy Liang",Feb 2025,https://arxiv.org/abs/2502.01126
Converting MLPs into Polynomials in Closed Form,"Nora Belrose, Alice Rigg",Feb 2025,https://arxiv.org/abs/2502.01032
Blink of an eye: a simple theory for feature localization in generative models,"Marvin Li, Aayush Karan, Sitan Chen",Feb 2025,https://arxiv.org/abs/2502.00921
Tell me about yourself: LLMs are aware of their implicit behaviors,"Jan Betley, Xuchan Bao, Martín Soto, Anna Sztyber-Betley, James Chua, Owain Evans",Jan 2025,https://www.lesswrong.com/posts/xrv2fNJtqabN3h6Aj/tell-me-about-yourself-llms-are-aware-of-their-implicit
Interpretability in Parameter Space: Minimizing Mechanistic Description Length with Attribution-based Parameter Decomposition,"Dan Braun, Lucius Bushnaq, Stefan Heimersheim, Jake Mendel, Lee Sharkey",Jan 2025,https://www.lesswrong.com/posts/EPefYWjuHNcNH4C7E/attribution-based-parameter-decomposition
Trading inference-time compute for adversarial robustness,"Wojciech Zaremba, Evgenia Nitishinskaya, Boaz Barak, Stephanie Lin, Sam Toyer, Yaodong Yu, Rachel Dias, Eric Wallace, Kai Xiao, Johannes Heidecke, Amelia Glaese",Jan 2025,https://openai.com/index/trading-inference-time-compute-for-adversarial-robustness/
